id,Rule,Quantity,Occurrences,Time sequence,Time sequence (original),"Notes 
(“Consequences”)"
,“I shouldn’t have told you that”,,,1:51:30,"… N rewatch..
1:51:30",
,“Snape”,,,"2:07:00
2:07:01
2:07:02
2:07:03
2:07:04
2:08:00","… N rewatch..
2:07:00 x5
2:08:00",
,,,,,,
,,,,,,
,Everytime harry’s scar is talked about (or hurts or is referenced(,1?,,"0:30:00
0:34:50
0:44:00 
1:46:47
1:50:00
2:08:10
2:16:30","0:30:00
0:34:50
0:44:00 ??
1:46:47
1:50:00
2:08:10
2:16:30",
5,A reference to Harry’s mothers eyes,2 drinks,,,,
,,,,,,
,,,,,,
,,,,,,
,Sorcerers Stone shows up (known or unknown) or is mentioned “stone”,,,"0:24:30
1:38:00
1:38:01 
1:38:02
1:39:00
1:39:30 
1:39:32
1:48:40
1:52:00
2:04:20
2:09:40
2:12:00
2:12:40 
2:14:00 
2:15:00 
2:15:05
2:15:50
2:16:10","0:24:30
1:38:00 x3
1:39:00
1:39:30 (“Stone” x2)
1:48:40
1:52:00
2:04:20 (“stone”)
2:09:40
2:12:00 (“stone”) 
2:12:40 (“stone”)
2:14:00 (harry passed out with stone in hand)
2:15:00 x2
2:15:50
2:16:10",
,,,,,,
,Ghost shows up,,,"0:47:00 
0:47:01
0:47:02
0:47:03
0:47:04
0:47:05
0:47:06
0:47:07
0:47:08
0:47:09","0:47:00 x 10??? (nearly headless nick and co)

Missed others…",
,"Everytime hermione acts like a know it all.
(or just knows some fact)",,,"0:37:00
0:58:00
1:00:50
1:00:52
1:00:54
1:02:00
1:06:54
1:37:30
1:57:30","0:37:00
0:58:00
1:00:50 (x3 arguable)
1:02:00
10:06:54
1:37:30
1:57:30 (devils snare)",
,Ceiling in a new decoration style,,,"0:42:00
1:08:00
2:21:05","0:42:00
1:08:00
2:21:05",
,House points being added or subtracted,,,"1:12:45
1:13:30 
1:13:31
1:13:32
1:42:00 
1:42:00 
1:42:00 
1:42:00","1:12:45
1:13:30 (to each of you 3)
1:42:00 (50 points x4 people)

I missed the end..",
,,,,,,
,Every second a fire shows up on scene,,,,2:11:00 for like 4 min,
,,,,,,
,,,,,,
,Nevil loses something,,,,"Early
0:58:00",
,Anytime Mcgonagall turns to or from a cat,2 drinks,,"0:01:30
0:50:56","0:01:30
0:50:56",
,Scowl counter (harry scowls at someone),,,"0:05:00
0:10:00
1:19:00","2-3 early (at the dudleys)
1:19 (in quidditch match)",
,Any move in wizards chess,,,"1:26:00
1:26:05
2:03:00
2:03:01
2:03:02
2:03:03
2:03:04
2:04:40
2:05:20
2:06:00","1:26:00 x2
2:03:00 x5
2:04:40
2:05:20
2:06:00",
,Everytime they go where they don’t belong,,,,"Harry + ron in bathroom..
1 early (3rd floor)
1:28:00 forbidden section
1:39:00 (out after dark)",
,"Everytime harry (someone, shamus, or troll) causes property damage
(first two at ollivanders)",3,,"0:26:00
0:26:30
0:53:50 
1:10:30
1:10:35
1:21:00 
1:29:30","0:26:00
0:26:30
53:50 (shamus)
1:10:30 x2 (troll)
1:21:00 (hermione snape cloak fire)
1:29:30 (broken lantern)",
,Every time harry gets hurt (or wounded) including cuts,,,,"???
2:00:00
2:13:45",
,,,,,,
,,,,,,
,—- Finish your drink below—-,,,,,
,"Leviosa, not leviosaaaah",finish,,,"1:06:00 (classic)
1:07:30 (if you add rons mocking)

1:12:00",
,“Troll in the dungeon”,,,1:08:40,1:08:40,
,,,,,,
,,,,,,
,,,,,,
,Every comment Vernon has about getting no mail on Sunday’s,,5,"0:11:01
0:11:02
0:11:03
0:11:04
0:11:05",11 min x5,
,Cupboard scene,,,,"5 min?
9 min",
,Any time Dudley acts spoiled,,,,"5 min
6 min",
,,,,,,
,Any time petunia looks scared?,,,,"(apparently 1 earlier)
13 min",
,,,,,,
,"(Interpretational)
Anytime you feel bad for harry",,,,(like 5x early),
